what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1465802524609
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1465802524890
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1465802525171
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1465802525531
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465802526500
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465802527125
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1465802531984
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465802532828
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1465802533359
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465802535812
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1465802535843
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465802536859
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1465802538125
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465802538750
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.rename,1465802538781
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465802539625
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1465802541046
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465802541203
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1465802541234
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465802542796
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1465802543312
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465802546000
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465802550156
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1465802555703
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465802556656
