what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462439041390
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462439041937
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462439051625
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462439052234
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1462439056031
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1462439079703
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1462439081578
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1462439091890
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462439093812
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462439094296
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462439094421
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462439094828
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1462439097703
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1462439101500
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462439103343
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462439103750
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462439103906
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462439104500
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1462439126203
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462439355640
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462439355656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462439355781
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462445961328
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462445964875
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1462450819875
