what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1465570695187
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1465570695343
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1465570695468
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1465570695640
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1465570695937
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1465570696500
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1465570696656
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1465570696812
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1465570712046
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1465570768593
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465570776609
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465570776781
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465570786890
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465570787609
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1465570789687
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1465570796046
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465570813718
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465570816015
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465570816968
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465570855828
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1465570858531
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1465570860812
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465570865593
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465570885171
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1465570908453
