what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487458296
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487458796
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487462875
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487463421
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487504093
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487505984
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487506781
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487508109
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487508671
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1465487513796
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487514312
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487516000
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1465487519828
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487520390
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487529390
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1465487541546
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487542203
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487548968
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1465487556406
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487556968
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487561671
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1465487570453
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487571015
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487572546
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465487597000
