what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466311377796
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466311378593
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1466311381593
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1466311405765
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466311420015
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466311420406
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1466311423156
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1466311467484
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.organize.imports,1466311470203
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1466311472000
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1466311506046
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466311539484
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466311540187
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1466311544921
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1466311569250
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1466311574218
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1466311594703
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466311626640
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466311626984
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1466311629796
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1466311669484
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466311673890
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466311674203
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466311698750
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466311709843
