what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1465569169609
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465569173046
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465569176984
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.rename,1465569177046
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465569185703
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465569186546
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465569205250
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465569208656
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.rename,1465569208734
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1465569208890
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1465569211062
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465569211656
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465569212468
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1465569222671
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.showInformation,1465569225781
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.showInformation,1465569229515
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.showInformation,1465569231359
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1465569231796
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465569232156
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465569237140
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.rename,1465569237218
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465569238984
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465569240234
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465569242640
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1465569257687
