what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458648617703
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1458648617890
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1458648617984
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.delete.line,1458648694390
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1458648814843
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1458648817906
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458648821500
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458648821671
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.format,1458648831640
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1458648834562
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.format,1458648835109
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.smartEnter,1458648837796
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1458648838171
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.delete.line,1458648849796
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458648856078
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458648881968
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1458648882921
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1458648885484
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1458648886125
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458648900125
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458648902734
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.format,1458648905093
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458648928656
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458648929531
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458648932703
