what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746320567
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.open.hierarchy,1458746320614
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746322567
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746327270
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746328333
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.redo,1458746328411
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1458746335114
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746336020
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746341583
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.rename,1458746341614
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746349208
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746349380
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1458746349458
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1458746359723
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746363239
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746363380
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1458746365755
opened,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1458746369692
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746372911
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746373005
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746402708
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746402864
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1458746407239
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746409411
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1458746409598
